,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
0,BMW,X1,,2019,Automatic,Petrol,"24,000 km",1st,"31,90,000",Mumbai
1,Maruti Suzuki,Vitara Brezza,,2019,Automatic,Diesel,"19,000 km",1st,"10,65,000",Mumbai
2,Skoda,Kodiaq,,2020,Automatic,Diesel,"11,123 km",1st,"38,50,000",Mumbai
3,Maruti Suzuki,Ciaz,,2015,Manual,Diesel,"79,328 km",1st,"6,00,000",Mumbai
4,Hyundai,Creta,,2016,Automatic,Petrol,"36,000 km",1st,"9,50,000",Mumbai
5,Mahindra,Jeep,,2003,Manual,Diesel,"30,000 km",-,"5,11,000",Mumbai
6,Hyundai,EON,,2012,Manual,Petrol,"65,000 km",2nd,"2,15,000",Mumbai
7,Maruti Suzuki,Celerio,,2015,Automatic,Petrol,"53,000 km",1st,"4,28,000",Mumbai
8,-,-,,-,-,-,-,-,-,Mumbai
9,Mahindra,Scorpio,,2019,Manual,Diesel,"51,000 km",1st,"11,00,000",Mumbai
10,Maruti Suzuki,Ertiga,,2016,Manual,Diesel,"30,000 km",1st,"8,45,000",Mumbai
11,Hyundai,i20,,2011,Manual,Petrol,"76,000 km",2nd,"2,61,000",Mumbai
12,Maruti Suzuki,Vitara Brezza,,2018,Manual,Diesel,"32,000 km",1st,"9,70,000",Mumbai
13,Toyota,Innova,,2014,Manual,Diesel,"31,000 km",1st,"10,60,000",Mumbai
14,Skoda,Fabia,,2009,Manual,Petrol,"69,000 km",1st,"1,85,000",Mumbai
15,Hyundai,Verna,,2012,Manual,Petrol,"66,000 km",1st,"4,55,000",Mumbai
16,Maruti Suzuki,Ciaz,,2016,Manual,Diesel,"51,000 km",1st,"7,15,000",Mumbai
17,Hyundai,Getz,,2005,Manual,Petrol,"51,443 km",2nd,"1,01,000",Mumbai
18,Tata,Safari,,2008,Manual,Diesel,"103,600 km",1st,"2,63,500",Mumbai
19,Toyota,Innova,,2011,Manual,Diesel,"139,579 km",1st,"6,99,000",Mumbai
20,Maruti Suzuki,Wagon R 1.0,,2010,Manual,Petrol,"20,680 km",2nd,"2,30,000",Mumbai
21,-,-,,-,-,-,-,-,-,Mumbai
22,Volkswagen,Ameo,,2016,Manual,Petrol,"59,931 km",1st,"4,00,500",Mumbai
23,Maruti Suzuki,Alto,,2006,Manual,Petrol,"55,450 km",1st,"98,000",Mumbai
24,Tata,Indica,,2004,Manual,Diesel,"80,746 km",1st,"88,000",Mumbai
25,Hyundai,i10,,2012,Manual,Petrol,"74,000 km",1st,"3,30,000",Mumbai
26,Renault,Triber,,2020,Manual,Petrol,"3,000 km",1st,"6,45,000",Mumbai
27,Audi,Q3,,2015,Automatic,Diesel,"43,000 km",1st,"19,90,000",Mumbai
28,Maruti Suzuki,Swift,,2014,Manual,Diesel,"45,000 km",1st,"4,85,000",Mumbai
29,Maruti Suzuki,Swift Dzire,,2018,Manual,Petrol,"52,500 km",1st,"6,87,000",Mumbai
30,Maruti Suzuki,Swift Dzire,,2019,Manual,Diesel,"34,000 km",1st,"7,99,000",Mumbai
31,-,-,,-,-,-,-,-,-,Mumbai
32,Hyundai,i20,,2011,Manual,Diesel,"63,000 km",2nd,"3,75,000",Mumbai
33,Hyundai,EON,,2018,Manual,Petrol,"25,000 km",2nd,"2,70,000",Mumbai
34,Maruti Suzuki,Vitara Brezza,,2016,Manual,Diesel,"48,000 km",1st,"8,75,000",Mumbai
35,Maruti Suzuki,Wagon R,,2014,Manual,CNG & Hybrids,"60,000 km",1st,"3,60,000",Mumbai
36,Hyundai,Santro Xing,,2009,Manual,Petrol,"47,000 km",2nd,"1,45,000",Mumbai
37,Nissan,Terrano,,2017,Automatic,Diesel,"68,000 km",1st,"9,25,000",Mumbai
38,Tata,Indica V2,,2004,Manual,Diesel,"80,746 km",1st,"88,000",Mumbai
39,Maruti Suzuki,Ertiga,,2016,Manual,Diesel,"85,000 km",1st,"7,60,000",Mumbai
40,BMW,X1,,2019,Automatic,Petrol,"24,000 km",1st,"31,90,000",Mumbai
41,Maruti Suzuki,Vitara Brezza,,2019,Automatic,Diesel,"19,000 km",1st,"10,65,000",Mumbai
42,Skoda,Kodiaq,,2020,Automatic,Diesel,"11,123 km",1st,"38,50,000",Mumbai
43,Maruti Suzuki,Ciaz,,2015,Manual,Diesel,"79,328 km",1st,"6,00,000",Mumbai
44,Hyundai,Creta,,2016,Automatic,Petrol,"36,000 km",1st,"9,50,000",Mumbai
45,Mahindra,Jeep,,2003,Manual,Diesel,"30,000 km",-,"5,11,000",Mumbai
46,Hyundai,EON,,2012,Manual,Petrol,"65,000 km",2nd,"2,15,000",Mumbai
47,Maruti Suzuki,Celerio,,2015,Automatic,Petrol,"53,000 km",1st,"4,28,000",Mumbai
48,-,-,,-,-,-,-,-,-,Mumbai
49,Mahindra,Scorpio,,2019,Manual,Diesel,"51,000 km",1st,"11,00,000",Mumbai
50,Maruti Suzuki,Ertiga,,2016,Manual,Diesel,"30,000 km",1st,"8,45,000",Mumbai
51,Hyundai,i20,,2011,Manual,Petrol,"76,000 km",2nd,"2,61,000",Mumbai
52,Maruti Suzuki,Vitara Brezza,,2018,Manual,Diesel,"32,000 km",1st,"9,70,000",Mumbai
53,Toyota,Innova,,2014,Manual,Diesel,"31,000 km",1st,"10,60,000",Mumbai
54,Skoda,Fabia,,2009,Manual,Petrol,"69,000 km",1st,"1,85,000",Mumbai
55,Hyundai,Verna,,2012,Manual,Petrol,"66,000 km",1st,"4,55,000",Mumbai
56,Maruti Suzuki,Ciaz,,2016,Manual,Diesel,"51,000 km",1st,"7,15,000",Mumbai
57,Hyundai,Getz,,2005,Manual,Petrol,"51,443 km",2nd,"1,01,000",Mumbai
58,Tata,Safari,,2008,Manual,Diesel,"103,600 km",1st,"2,63,500",Mumbai
59,Toyota,Innova,,2011,Manual,Diesel,"139,579 km",1st,"6,99,000",Mumbai
60,Maruti Suzuki,Wagon R 1.0,,2010,Manual,Petrol,"20,680 km",2nd,"2,30,000",Mumbai
61,-,-,,-,-,-,-,-,-,Mumbai
62,Volkswagen,Ameo,,2016,Manual,Petrol,"59,931 km",1st,"4,00,500",Mumbai
63,Maruti Suzuki,Alto,,2006,Manual,Petrol,"55,450 km",1st,"98,000",Mumbai
64,Tata,Indica,,2004,Manual,Diesel,"80,746 km",1st,"88,000",Mumbai
65,Hyundai,i10,,2012,Manual,Petrol,"74,000 km",1st,"3,30,000",Mumbai
66,Renault,Triber,,2020,Manual,Petrol,"3,000 km",1st,"6,45,000",Mumbai
67,Audi,Q3,,2015,Automatic,Diesel,"43,000 km",1st,"19,90,000",Mumbai
68,Maruti Suzuki,Swift,,2014,Manual,Diesel,"45,000 km",1st,"4,85,000",Mumbai
69,Maruti Suzuki,Swift Dzire,,2018,Manual,Petrol,"52,500 km",1st,"6,87,000",Mumbai
