,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
0,Maruti Suzuki,Swift,,2006,Manual,Petrol,"68,000 km",1st,"3,50,000",karnataka
1,Volkswagen,Vento,,2014,Manual,Petrol,"94,692 km",-,"4,65,000",karnataka
2,-,-,,-,-,-,-,-,-,karnataka
3,Renault,Duster,,2013,Manual,Diesel,"69,000 km",1st,"6,45,000",karnataka
4,Mahindra,Quanto,,2012,Manual,Diesel,"85,000 km",1st,"3,60,000",karnataka
5,Volkswagen,Polo,,2010,Manual,Petrol,"119,000 km",1st,"2,85,000",karnataka
6,Hyundai,i20,,2009,Manual,Diesel,"71,000 km",3rd,"3,35,000",karnataka
7,Maruti Suzuki,Swift,,2005,Manual,Petrol,"74,000 km",3rd,"2,25,000",karnataka
8,Toyota,Innova Crysta,,2018,Manual,Diesel,"41,000 km",1st,"18,25,000",karnataka
9,BMW,X1,,2013,Automatic,Diesel,"80,000 km",1st,"15,25,000",karnataka
10,Nissan,Terrano,,2013,Manual,Diesel,"73,000 km",1st,"6,90,000",karnataka
11,Maruti Suzuki,Baleno,,2017,Manual,Petrol,"46,000 km",1st,"6,50,000",karnataka
12,Hyundai,Santro Xing,,2005,Manual,Petrol,"84,000 km",3rd,"1,65,000",karnataka
13,Toyota,Innova,,2012,Manual,Diesel,"85,433 km",1st,"9,75,000",karnataka
14,Honda,City ZX,,2005,Manual,Petrol,"62,000 km",1st,"1,95,000",karnataka
15,Jaguar,F-Pace,,2018,Automatic,Diesel,"46,000 km",1st,"52,75,000",karnataka
16,Nissan,Micra,,2010,Manual,Petrol,"80,000 km",4th,"2,99,000",karnataka
17,Toyota,Etios,,2011,Manual,Petrol,"75,000 km",2nd,"3,95,000",karnataka
18,Toyota,Innova Crysta,,2018,Automatic,Diesel,"80,000 km",1st,"22,49,000",karnataka
19,Maruti Suzuki,Vitara Brezza,,2017,Manual,Diesel,"59,430 km",1st,"9,25,000",karnataka
20,Honda,CR-V,,2007,Manual,Petrol,"82,000 km",4th,"3,75,000",karnataka
21,Hyundai,Verna,,2013,Manual,Diesel,"79,000 km",1st,"4,99,000",karnataka
22,Tata,Zest,,2015,Automatic,Diesel,"83,000 km",2nd,"3,85,000",karnataka
23,Maruti Suzuki,Swift Dzire,,2018,Manual,Diesel,"18,666 km",1st,"5,90,000",karnataka
24,Maruti Suzuki,Swift Dzire,,2016,Manual,Diesel,"71,000 km",1st,"6,20,000",karnataka
25,Maruti Suzuki,Alto K10,,2013,Manual,Petrol,"33,000 km",2nd,"2,95,000",karnataka
26,Hyundai,Elite i20,,2015,Manual,Petrol,"76,000 km",1st,"6,10,000",karnataka
27,Chevrolet,Optra Magnum,,2011,Manual,Diesel,"77,702 km",1st,"3,75,000",karnataka
28,Maruti Suzuki,Alto,,2008,Manual,Petrol,"32,000 km",1st,"2,10,000",karnataka
29,Maruti Suzuki,Swift,,2012,Manual,Diesel,"75,000 km",2nd,"4,25,000",karnataka
30,Maruti Suzuki,Wagon R,,2008,Manual,Petrol,"70,000 km",1st,"2,10,000",karnataka
31,Toyota,Innova,,2009,Manual,Diesel,"185,000 km",2nd,"7,25,000",karnataka
32,Hyundai,i20,,2010,Manual,Petrol,"73,000 km",2nd,"3,65,000",karnataka
33,Maruti Suzuki,Swift,,2012,Manual,Diesel,"72,000 km",2nd,"4,25,000",karnataka
34,Mercedes-Benz,New C-Class,,2016,Automatic,Diesel,"100,000 km",1st,"24,75,000",karnataka
35,Honda,City,,2001,Manual,Petrol,"82,000 km",3rd,"2,10,000",karnataka
36,Hyundai,i20,,2010,Automatic,Petrol,"92,000 km",1st,"4,25,000",karnataka
37,Maruti Suzuki,Swift Dzire,,2009,Manual,Petrol,"72,000 km",1st,"3,65,000",karnataka
38,Maruti Suzuki,Baleno,,2017,Manual,Petrol,"27,000 km",2nd,"6,25,000",karnataka
39,Maruti Suzuki,Alto,,2003,Manual,Petrol,"200,000 km",1st,"1,35,000",karnataka
40,Maruti Suzuki,Swift,,2020,Manual,Petrol,"32,000 km",1st,"6,85,000",karnataka
41,Maruti Suzuki,Ciaz,,2018,Manual,Petrol,"16,329 km",-,"8,75,000",karnataka
42,-,-,,-,-,-,-,-,-,karnataka
43,Mahindra,Xylo,,2014,Manual,Diesel,"87,292 km",1st,"5,10,000",karnataka
44,Mini,Cooper Countryman,,2013,Automatic,Diesel,"46,000 km",2nd,"17,50,000",karnataka
45,Ford,Endeavour,,2017,Automatic,Diesel,"79,680 km",1st,"24,75,000",karnataka
46,Maruti Suzuki,Swift,,2007,Manual,Petrol,"61,000 km",1st,"2,90,000",karnataka
47,Hyundai,EON,,2012,Manual,Petrol,"76,000 km",1st,"3,10,000",karnataka
48,Hyundai,EON,,2014,Manual,Petrol,"58,888 km",2nd,"3,10,000",karnataka
