,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
0,Tata,Harrier,,2019,Manual,Diesel,"8,600 km",1st,"16,75,000",kerala
1,Maruti Suzuki,Swift,,2016,Manual,Petrol,"55,225 km",1st,"5,45,000",kerala
2,Maruti Suzuki,Eeco,,2011,Manual,Petrol,"75,000 km",2nd,"1,98,000",kerala
3,Maruti Suzuki,Swift Dzire,,2014,Manual,Diesel,"120,000 km",2nd,"4,00,000",kerala
4,Mahindra,Xylo,,2010,Manual,Diesel,"120,000 km",2nd,"2,35,000",kerala
5,Maruti Suzuki,800,,2015,Manual,Petrol,555 km,4th,"15,000",kerala
6,Maruti Suzuki,Zen Estilo,,2013,Manual,Petrol,"92,345 km",2nd,"2,25,000",kerala
7,Audi,Q5,,2015,Automatic,Diesel,"110,000 km",1st,"22,50,000",kerala
8,Skoda,Octavia,,2011,Manual,Diesel,55 km,4th,"35,000",kerala
9,Hyundai,Accent,,2013,Automatic,LPG,555 km,3rd,"15,000",kerala
10,Maruti Suzuki,Alto K10,,2014,Automatic,-,"81,270 km",3rd,"2,90,000",kerala
11,Ford,Classic,,2016,Automatic,Diesel,225 km,4th,"15,000",kerala
12,Ford,Aspire,,2017,Manual,Diesel,"65,000 km",2nd,"4,68,000",kerala
13,Ford,Ecosport,,2013,Manual,Diesel,"100,000 km",2nd,"5,25,000",kerala
14,Renault,Pulse,,2012,Manual,Diesel,"110,000 km",1st,"2,55,000",kerala
15,Hyundai,Creta,,2015,Manual,Diesel,"116,000 km",1st,"8,65,000",kerala
16,Maruti Suzuki,Zen,,2000,Manual,Petrol,"95,000 km",3rd,"80,000",kerala
17,Jeep,Compass,,2017,Manual,Diesel,"38,000 km",1st,"15,75,000",kerala
18,-,-,,-,-,-,-,-,-,kerala
19,Ford,Fiesta,,2008,Manual,Diesel,"120,000 km",1st,"1,48,000",kerala
20,Volkswagen,Vento,,2014,Automatic,Diesel,"91,000 km",3rd,"5,45,000",kerala
21,Audi,S5,,2018,Automatic,Petrol,"20,000 km",2nd,"58,00,000",kerala
22,Volkswagen,Polo,,2019,Manual,Petrol,"44,080 km",1st,"6,40,000",kerala
23,Nissan,Sunny,,2015,Manual,Diesel,"43,000 km",1st,"5,65,000",kerala
24,Nissan,Micra Active,,2013,Manual,Petrol,"80,000 km",1st,"2,90,000",kerala
25,Mahindra,Bolero Pik-Up,,2012,Automatic,Diesel,"150,000 km",2nd,"4,10,000",kerala
26,Mahindra,Verito,,2013,Manual,Diesel,"260,000 km",2nd,"1,70,000",kerala
27,Mahindra,Bolero,,2011,Manual,Diesel,"76,000 km",2nd,"4,55,000",kerala
28,Maruti Suzuki,Alto,,2007,Manual,Petrol,"109,752 km",2nd,"1,05,000",kerala
29,Hyundai,Santro Xing,,2010,Manual,Petrol,"95,000 km",2nd,"1,65,000",kerala
30,Opel,Corsa,,2003,Manual,Petrol,"120,250 km",4th,"30,000",kerala
31,Maruti Suzuki,Ritz,,2011,Manual,Diesel,"132,000 km",2nd,"2,85,000",kerala
32,Chevrolet,Optra Magnum,,2010,Manual,Diesel,"110,000 km",1st,"3,00,000",kerala
33,Maruti Suzuki,Swift,,2018,Manual,Diesel,"41,889 km",1st,"6,40,000",kerala
34,Maruti Suzuki,Ertiga,,2016,Manual,Diesel,"50,000 km",1st,"7,50,000",kerala
35,Toyota,Innova,,2012,Manual,Diesel,"110,000 km",2nd,"8,00,000",kerala
36,Ford,Figo,,2015,Manual,Diesel,"25,086 km",2nd,"15,000",kerala
37,Toyota,Innova,,2010,-,-,5 km,-,"1,00,000",kerala
38,BMW,X5,,2016,-,Diesel,45 km,-,"45,55,555",kerala
39,Maruti Suzuki,Swift Dzire,,2016,Manual,Diesel,"92,000 km",2nd,"4,15,000",kerala
40,Tata,Harrier,,2019,Manual,Diesel,"8,600 km",1st,"16,75,000",kerala
41,Maruti Suzuki,Swift,,2016,Manual,Petrol,"55,225 km",1st,"5,45,000",kerala
42,Maruti Suzuki,Eeco,,2011,Manual,Petrol,"75,000 km",2nd,"1,98,000",kerala
43,Maruti Suzuki,Swift Dzire,,2014,Manual,Diesel,"120,000 km",2nd,"4,00,000",kerala
44,Mahindra,Xylo,,2010,Manual,Diesel,"120,000 km",2nd,"2,35,000",kerala
45,Maruti Suzuki,800,,2015,Manual,Petrol,555 km,4th,"15,000",kerala
46,Maruti Suzuki,Zen Estilo,,2013,Manual,Petrol,"92,345 km",2nd,"2,25,000",kerala
47,Audi,Q5,,2015,Automatic,Diesel,"110,000 km",1st,"22,50,000",kerala
48,Skoda,Octavia,,2011,Manual,Diesel,55 km,4th,"35,000",kerala
49,Hyundai,Accent,,2013,Automatic,LPG,555 km,3rd,"15,000",kerala
50,Maruti Suzuki,Alto K10,,2014,Automatic,-,"81,270 km",3rd,"2,90,000",kerala
51,Ford,Classic,,2016,Automatic,Diesel,225 km,4th,"15,000",kerala
52,Ford,Aspire,,2017,Manual,Diesel,"65,000 km",2nd,"4,68,000",kerala
53,Ford,Ecosport,,2013,Manual,Diesel,"100,000 km",2nd,"5,25,000",kerala
54,Renault,Pulse,,2012,Manual,Diesel,"110,000 km",1st,"2,55,000",kerala
55,Hyundai,Creta,,2015,Manual,Diesel,"116,000 km",1st,"8,65,000",kerala
56,Maruti Suzuki,Zen,,2000,Manual,Petrol,"95,000 km",3rd,"80,000",kerala
57,Jeep,Compass,,2017,Manual,Diesel,"38,000 km",1st,"15,75,000",kerala
58,-,-,,-,-,-,-,-,-,kerala
59,Ford,Fiesta,,2008,Manual,Diesel,"120,000 km",1st,"1,48,000",kerala
60,Volkswagen,Vento,,2014,Automatic,Diesel,"91,000 km",3rd,"5,45,000",kerala
61,Audi,S5,,2018,Automatic,Petrol,"20,000 km",2nd,"58,00,000",kerala
62,Volkswagen,Polo,,2019,Manual,Petrol,"44,080 km",1st,"6,40,000",kerala
63,Nissan,Sunny,,2015,Manual,Diesel,"43,000 km",1st,"5,65,000",kerala
64,Nissan,Micra Active,,2013,Manual,Petrol,"80,000 km",1st,"2,90,000",kerala
65,Mahindra,Bolero Pik-Up,,2012,Automatic,Diesel,"150,000 km",2nd,"4,10,000",kerala
66,Mahindra,Verito,,2013,Manual,Diesel,"260,000 km",2nd,"1,70,000",kerala
67,Mahindra,Bolero,,2011,Manual,Diesel,"76,000 km",2nd,"4,55,000",kerala
68,Maruti Suzuki,Alto,,2007,Manual,Petrol,"109,752 km",2nd,"1,05,000",kerala
69,Hyundai,Santro Xing,,2010,Manual,Petrol,"95,000 km",2nd,"1,65,000",kerala
70,Opel,Corsa,,2003,Manual,Petrol,"120,250 km",4th,"30,000",kerala
71,Maruti Suzuki,Ritz,,2011,Manual,Diesel,"132,000 km",2nd,"2,85,000",kerala
72,Chevrolet,Optra Magnum,,2010,Manual,Diesel,"110,000 km",1st,"3,00,000",kerala
73,Maruti Suzuki,Swift,,2018,Manual,Diesel,"41,889 km",1st,"6,40,000",kerala
74,Maruti Suzuki,Ertiga,,2016,Manual,Diesel,"50,000 km",1st,"7,50,000",kerala
75,Toyota,Innova,,2012,Manual,Diesel,"110,000 km",2nd,"8,00,000",kerala
76,Ford,Figo,,2015,Manual,Diesel,"25,086 km",2nd,"15,000",kerala
77,Toyota,Innova,,2010,-,-,5 km,-,"1,00,000",kerala
78,BMW,X5,,2016,-,Diesel,45 km,-,"45,55,555",kerala
79,Maruti Suzuki,Swift Dzire,,2016,Manual,Diesel,"92,000 km",2nd,"4,15,000",kerala
80,Maruti Suzuki,Baleno,,2018,Manual,Diesel,"13,000 km",1st,"7,75,000",kerala
81,Hyundai,EON,,2017,Manual,Petrol,"14,958 km",1st,"3,10,000",kerala
82,Skoda,Rapid,,2015,Automatic,Diesel,"122,000 km",1st,"4,85,000",kerala
83,Maruti Suzuki,Alto 800,,2014,Manual,Petrol,"70,000 km",2nd,"2,10,000",kerala
